"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1270","1105","0.869","0"
"2022","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1505","1270","0.846","0"
"2023","8 points (D*DD)","All","England","Male","Main scheme applicant","All","1460","1235","0.844","0"
"2012","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","45","40","0.93","0"
"2013","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","30","25","0.871","0"
"2014","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","40","35","0.868","0"
"2015","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","50","40","0.854","0"
"2016","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","40","35","0.895","0"
"2017","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","40","35","0.868","0"
"2018","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","50","45","0.88","0"
"2019","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","35","30","0.853","0"
"2020","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","30","25","0.793","0"
"2021","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","45","40","0.909","0"
"2022","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","30","30","0.875","0"
"2023","8 points (D*DD)","All","Wales","Male","Main scheme applicant","All","35","30","0.848","0"
"2012","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.84","0"
"2013","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","40","30","0.8160000000000001","0"
"2014","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","20","15","0.833","0"
"2015","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.882","0"
"2016","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","25","25","0.889","0"
"2017","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.769","0"
"2018","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.806","0"
"2019","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.719","0"
"2020","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.879","0"
"2021","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","20","15","0.778","0"
"2022","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.844","0"
"2023","9 points (D*D*D)","All","Northern Ireland","Male","Main scheme applicant","All","15","10","0.786","0"
"2011","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","5","5"," ","0"
"2012","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","705","600","0.854","0"
"2013","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","800","700","0.87","0"
"2014","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1015","900","0.888","0"
"2015","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1105","985","0.89","0"
"2016","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1285","1150","0.897","0"
"2017","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1260","1110","0.879","0"
"2018","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1225","1080","0.883","0"
"2019","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1075","950","0.884","0"
"2020","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1275","1135","0.892","0"
"2021","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1385","1215","0.879","0"
"2022","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1485","1245","0.838","0"
"2023","9 points (D*D*D)","All","England","Male","Main scheme applicant","All","1100","915","0.834","0"
"2012","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","All","35","30","0.857","0"
"2013","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","All","30","30","1","0"
"2014","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","All","35","30","0.853","0"
"2015","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","All","45","35","0.837","0"
"2016","9 points (D*D*D)","All","Wales","Male","Main scheme applicant","All","40","35","0.872","0"
